"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:21,9","6:21,9","1,00","6:22","149","158","6","--","175","0,90","97","5:49","186","6:21","6:21"
"2","6:09,9","12:32","1,00","6:10","165","169","--","2","183","0,89","103","5:49","186","6:09,9","6:10"
"3","6:17,2","18:49","1,00","6:17","170","174","19","8","181","0,88","108","5:54","186","6:17","6:17"
"4","6:31,6","25:21","1,00","6:32","172","176","10","6","177","0,87","111","5:42","186","6:31,6","6:32"
"5","6:24,0","31:45","1,00","6:24","170","175","7","17","175","0,89","110","5:36","186","6:23","6:23"
"6","7:35,9","39:20","1,00","7:36","164","173","4","3","150","0,88","120","6:07","182","7:35,9","7:36"
"7","7:14,5","46:35","1,00","7:15","169","179","7","--","168","0,82","119","6:17","184","7:14,5","7:15"
"8","6:48,6","53:24","1,00","6:49","171","174","6","8","172","0,85","112","6:05","182","6:48","6:48"
"9","8:10,6","1:01:34","1,00","8:11","155","180","3","10","142","0,86","104","5:42","180","8:10","8:10"
"10","8:25,8","1:10:00","1,00","8:26","152","174","--","6","146","0,82","104","6:17","180","8:25,8","8:26"
"11","7:17,6","1:17:18","1,00","7:18","163","174","3","2","162","0,85","109","5:54","180","7:17,6","7:18"
"12","0:29,6","1:17:47","0,07","6:57","173","174","--","--","171","0,84","8","6:20","174","0:29","6:49"
"Summary","1:17:47","1:17:47","11,07","7:02","163","180","65","63","165","0,86","1.205","5:36","186","1:17:43","7:01"
