"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","7:01,6","7:01,6","1,00","7:02","123","133","9","4","180","264","52,4% L / 47,6% R","0,77","7,1","9,1","92","6:34","186","7:01,6","7:02"
"2","6:49,5","13:51","1,00","6:50","132","139","2","4","180","263","52,5% L / 47,5% R","0,81","7,2","8,7","100","6:20","182","6:49,5","6:49"
"3","6:52,4","20:43","1,00","6:52","130","139","4","--","180","260","52,3% L / 47,7% R","0,80","7,3","9,0","94","6:24","182","6:52","6:52"
"4","6:47,3","27:31","1,00","6:47","134","140","--","4","180","260","52,2% L / 47,8% R","0,82","7,4","8,8","95","6:24","182","6:47","6:47"
"5","7:05,0","34:36","1,00","7:05","135","143","6","--","180","263","52,0% L / 48,0% R","0,79","7,3","9,1","99","6:44","182","7:05","7:05"
"6","6:49,3","41:25","1,00","6:49","138","147","--","7","180","260","52,1% L / 47,9% R","0,82","7,4","9,0","97","5:40","183","6:49,3","6:49"
"7","6:54,4","48:19","1,00","6:54","141","147","--","--","180","260","51,8% L / 48,2% R","0,79","7,4","9,2","94","6:44","183","6:54","6:54"
"8","6:58,1","55:17","1,00","6:58","143","147","5","5","180","260","52,0% L / 48,0% R","0,79","7,5","9,4","96","6:23","182","6:58","6:58"
"9","6:53,6","1:02:11","1,00","6:54","145","150","--","--","180","260","51,9% L / 48,1% R","0,80","7,6","9,3","97","6:41","182","6:53","6:53"
"10","6:57,2","1:09:08","1,00","6:57","144","150","--","--","178","257","52,4% L / 47,6% R","0,81","7,7","9,4","97","6:28","183","6:49","6:49"
"11","7:12,1","1:16:20","1,00","7:12","144","155","2","--","180","258","52,3% L / 47,7% R","0,76","7,6","9,8","96","6:44","182","7:12","7:12"
"12","7:00,3","1:23:21","1,00","7:00","145","149","5","2","180","258","52,2% L / 47,8% R","0,79","7,8","9,7","97","6:43","182","7:00,3","7:00"
"13","6:57,4","1:30:18","1,00","6:57","146","151","--","--","180","255","52,2% L / 47,8% R","0,80","7,8","9,6","97","6:15","182","6:56","6:56"
"14","7:10,0","1:37:28","1,00","7:10","152","155","7","--","180","257","52,4% L / 47,6% R","0,76","7,7","10,0","98","6:43","183","7:10,0","7:10"
"15","7:19,5","1:44:48","1,00","7:20","147","154","3","--","179","260","52,0% L / 48,0% R","0,75","7,8","10,3","95","6:46","209","7:19,5","7:20"
"16","7:03,9","1:51:51","1,00","7:04","149","153","12","13","179","258","52,1% L / 47,9% R","0,78","7,9","9,9","94","6:41","182","7:03,9","7:04"
"17","6:45,8","1:58:37","1,00","6:46","150","154","--","4","180","252","52,3% L / 47,7% R","0,83","7,9","9,3","97","5:50","183","6:45","6:45"
"18","7:05,9","2:05:43","1,00","7:06","154","164","--","6","179","257","51,6% L / 48,4% R","0,79","7,9","9,9","100","6:35","183","7:05,9","7:06"
"19","7:10,8","2:12:54","1,00","7:11","156","161","--","3","180","257","51,7% L / 48,3% R","0,77","7,8","9,9","94","7:00","182","7:10,8","7:11"
"20","2:11,1","2:15:05","0,31","7:09","160","164","--","--","180","254","52,2% L / 47,8% R","0,78","7,9","9,9","29","7:02","182","2:11","7:09"
"Summary","2:15:05","2:15:05","19,31","7:00","143","164","54","52","180","259","52,1% L / 47,9% R","0,79","7,6","9,5","1.858","5:40","209","2:14:53","6:59"
